Title,Release_year,Genre,IMDb_Rating,Number_of_ratings
K.G.F: Chapter 2,2022,Action,8.2,159891
Kantara,2022,Action,8.2,108307
K.G.F: Chapter 1,2018,Action,8.2,105348
Kaiva,2023,Action,8.2,68982
777 Charlie,2022,Adventure,8.7,43659
RangiTaranga,2015,Mystery,8.1,15656
Lucia,2013,Drama,8.3,13645
Ulidavaru Kandanthe,2014,Crime,8.4,9837
Garuda Gamana Vrishabha Vahana,2021,Crime,8.2,8784
Avane Srimannarayana,2019,Action,7.7,8687
Sapta Sagaradaache Ello: Side A,2023,Drama,8.2,8667
James,2022,Action,7.3,8658
Uppi 2,2015,Action,7.8,8532
Kirik Party,2016,Comedy,8.2,7774
Dia,2020,Drama,8.0,7620
Ugramm,2014,Action,8.0,7472
Vadakkan,2025,Fantasy,7.2,5824
Raajakumara,2017,Action,7.9,4733
Love Mocktail,2020,Drama,8.2,4690
Sapta Sagaradaache Ello: Side B,2023,Action,8.0,4689
Rathnan Prapancha,2021,Comedy,8.3,4341
Om,1995,Action,8.9,4339
U Turn,2016,Crime,7.4,4178
Mungaru Male,2006,Comedy,8.4,4104
Upendra,1999,Drama,8.8,3959
Tatsama Tadbhava,2023,Crime,7.4,3811
Godhi Banna Sadharana Mykattu,2016,Drama,8.6,3789
Kaatera,2023,Action,7.2,3571
MAX,2024,Action,7.1,3504
Kavaludaari,2019,Crime,7.9,3460
Toby,2023,Crime,7.2,3318
Googly,2013,Comedy,7.5,3295
Nimma Vasthugalige Neeve Javaabdaararu,2025,Crime,7.0,3251
Mandya,2025,Action,8.1,3242
BTS: Behind the Scenes,2024,,7.8,3184
"Sarkari. Hi. Pra. Shale Kasaragodu, Koduge: Ramanna Rai",2018,Drama,8.7,3136
Krishnam Pranaya Sakhi,2024,Comedy,7.4,3102
Gandhada Gudi,2022,Documentary,8.9,3007
Bell Bottom,2019,Comedy,8.1,2957
Thithi,2015,Drama,8.0,2885
Super,2010,Drama,8.0,2801
A: Film by Upendra,1998,Drama,8.7,2689
Love Mocktail 2,2022,Drama,7.4,2680
Mr. And Mrs. Ramchari,2014,Drama,7.3,2671
Simple Agi Ondh Love Story,2013,Comedy,8.0,2594
Mufti,2017,Action,7.8,2519
Murphy,2024,Romance,7.0,2382
Dollu,2022,Drama,7.2,2289
Kendasampige,2015,Romance,8.3,2188
Tagaru,2018,Action,7.9,2159
Pratyartha,2025,Comedy,7.0,2157
Naale Rajaa Koli Majaa,2024,Comedy,8.2,2090
Shivaji Surathkal,2020,Drama,7.1,2060
Jackie,2010,Action,7.5,2011
Hostel Hudugaru Bekagiddare,2023,Comedy,7.2,1934
Birbal Trilogy: Case 1 - Finding Vajramuni,2019,Crime,7.7,1830
Badava Rascal,2021,Action,7.3,1761
Chase in the dark,2022,Crime,7.6,1690
Ondu Motteya Kathe,2017,Comedy,7.9,1663
Katheyondu Shuruvagide,2018,Comedy,7.1,1596
Mr. Rani,2025,Comedy,7.1,1587
Gultoo,2018,Crime,7.8,1586
Wedding Gift,2022,Drama,8.4,1538
Apple CUT,2025,,8.4,1495
Wheel Chair Romeo,2022,Comedy,7.9,1473
Gaalipata,2008,Comedy,8.3,1467
Milana,2007,Romance,8.3,1433
Shhh!,1993,Horror,8.6,1431
Tora Tora,2017,Comedy,7.1,1423
Kranthiveera Sangolli Rayanna,2012,Action,7.9,1359
Raktaksha,2024,Action,7.9,1357
Aapthamitra,2004,Drama,8.2,1351
Shakhahaari,2024,Crime,7.5,1345
Laughing Buddha,2024,Comedy,7.0,1342
Choo Mantar,2025,Horror,7.7,1289
Thugs of Ramaghada,2023,Crime,7.8,1285
Paramathma,2011,Romance,7.3,1259
Chow Chow Bath,2024,Comedy,7.2,1243
Operation Alamelamma,2017,Comedy,7.9,1224
Nagara Haavu,1972,Drama,9.0,1213
Thirgusomeese,2021,Action,7.0,1206
Raja Huli,2013,Comedy,7.1,1205
Koli Taal,2021,Comedy,7.3,1203
Aa Karaala Ratri,2018,Thriller,7.8,1154
Tales of Mahanagara,2023,Thriller,7.5,1133
Ananthu V/S Nusrath,2018,Comedy,7.5,1133
Home Minister,2022,Action,7.0,1125
Grey Games,2024,Crime,8.6,1120
Dheera Bhagat Roy,2024,Action,8.4,1119
Cyanide,2006,Crime,7.9,1112
Yellow Gangs,2022,Crime,7.1,1102
English Manja,2023,Crime,7.8,1102
Click,2024,Comedy,8.4,1088
Usire Usire,2024,Action,7.5,1085
Bangarada Manushya,1972,Drama,8.9,1077
Naa Ninna Bidalaare,2024,Thriller,7.3,1076
Vidyarthi Vidyarthiniyare,2024,Drama,7.5,1071
